Anzahl_Slots,Max_Domains,Max_Events,Max_Days,Session_Timeout,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,Total_Segments_Rotation,Rotation_Threshold,Session_Gap,End_Of_Stream,kNN_Accuracy_k1_Segments,kNN_Accuracy_k1_Rotation,kNN_Accuracy_k3_Segments,kNN_Accuracy_k3_Rotation,kNN_Accuracy_k5_Segments,kNN_Accuracy_k5_Rotation,kNN_Accuracy_k10_Segments,kNN_Accuracy_k10_Rotation,kNN_Accuracy_k20_Segments,kNN_Accuracy_k20_Rotation,Utility_Score,Privacy_Score_k1_Segments,Privacy_Score_k3_Segments,Privacy_Score_k5_Segments,Privacy_Score_k10_Segments,Privacy_Score_k20_Segments,Privacy_Score_k1_Rotation,Privacy_Score_k3_Rotation,Privacy_Score_k5_Rotation,Privacy_Score_k10_Rotation,Privacy_Score_k20_Rotation,Privacy_Score_Avg_Segments,Privacy_Score_Avg_Rotation,Pareto_Member,Chord_Distance,Plateau_Member
150,10,2200,7,60,0.1355101315763521,140.24920403888322,143574,897971,143574,0.1598871233035365,0.7312719453078106,0.1088409313886528,0.0131006457892292,0.0204981403318149,0.0266177860977693,0.0392201930711688,0.0362272278280701,0.0532617326256843,0.0544382836416766,0.0798960814632175,0.0822754855112247,0.1258166520400629,0.6489269768172925,0.9071489906570543,0.9061637803177272,0.9046365163719225,0.9022246791787482,0.9003542282616835,0.8207956217056265,0.8174013318492837,0.8137396520505311,0.8069718414015657,0.8007343323369748,0.9041056389574272,0.8119285558687963,False,-1.0,False
150,10,5000,20,30,0.1206312770683139,132.26975149741162,50215,952143,50215,0.0527389268208661,0.8285247068980185,0.1187363662811153,0.0136702155033435,0.0219058050383351,0.0279747895011568,0.04100368415812,0.0380384038952132,0.0571741511500547,0.0560430523566313,0.084476749975107,0.0840010376592591,0.1338444687842278,0.6941590213135442,0.9107243661630515,0.9058069204883219,0.903953300526247,0.907143588475998,0.9081144543237891,0.8200877016288615,0.8210097186623402,0.8097513034656212,0.8058986427501742,0.7969418301249545,0.9071485259954816,0.8107378393263904,False,-1.0,False
150,10,5000,20,60,0.1209304369120024,152.27361189366698,50215,827062,50215,0.0607149161731526,0.8025915832186704,0.1366935006081769,0.0121381468378428,0.0218460619336851,0.0248989797620976,0.0410435128945534,0.0340010785164836,0.0572139798864881,0.0508595486190878,0.084536493079757,0.0765130062800612,0.1339639549935278,0.7812184670272632,0.9402453474765047,0.939549272887644,0.9378599995031114,0.9383126087953708,0.9377605084062064,0.820445172632295,0.8204681630569735,0.809266707535111,0.8053986896734213,0.796372429233932,0.9387455474137674,0.8103902324263466,False,-1.0,False
65,10,5000,20,30,0.1322647438164836,137.94356721943527,47596,912980,47596,0.0521325768362943,0.8711187539705142,0.0767486691931915,0.0142872790203509,0.0244558366249264,0.0292054590462003,0.0460122699386503,0.0394718394707441,0.0627573745692915,0.0579585533089443,0.0914782754853349,0.0867653179697255,0.145495419783175,0.7210953264292426,0.8872534192598092,0.8807260383687816,0.8803480024751267,0.8840543176780065,0.8855992965044213,0.7807863010302285,0.7785116970043446,0.7716771792717987,0.7703885894589066,0.7586993357766584,0.8835962148572291,0.7720126205083874,False,-1.0,False
65,10,5000,20,60,0.1332991488097111,160.81441433618895,47596,783137,47596,0.0607760838780443,0.8497504268091024,0.0894734893128533,0.0128266190972971,0.0244978569627699,0.0262687116047383,0.0461803512900243,0.0356297812515562,0.0629674762585091,0.0531248044722698,0.0919825195394571,0.0798161752030615,0.1459996638372972,0.8206322774749775,0.9146602862770632,0.9122050966248307,0.9118761100234667,0.9123759101001805,0.912366188656832,0.7793083790842807,0.7764509995398398,0.7696565714787524,0.7676375062129763,0.7565211283517179,0.9126967183364746,0.7699149169335134,False,-1.0,False
65,10,2200,7,30,0.1537974440700649,129.40970996294644,127950,973186,127950,0.1314753808624456,0.8064419340187795,0.0620826851187748,0.0150752271405466,0.0230480656506447,0.0304525548045286,0.0435951543571707,0.0412644653745532,0.0591402891754591,0.0610160853115437,0.0889253614693239,0.091604277085778,0.139327862446268,0.6151336352284834,0.850703360777869,0.8457098730209296,0.843946380318569,0.8442794288400408,0.8450350488900517,0.7749394848838089,0.7722736814235391,0.7677019538398125,0.7579412503059902,0.7516600444114495,0.8459348183694919,0.7649032829729201,False,-1.0,False
65,10,2200,7,60,0.1551331766922963,149.16889500589855,127950,844276,127950,0.1515499670723791,0.7768881266315755,0.0715619062960453,0.0139006675542121,0.0231965611567018,0.0280666511898952,0.0437827276279796,0.0380775954782559,0.0593044157874169,0.0570026863253248,0.0891129347401328,0.0859707015241461,0.1395701445877296,0.7011282214492629,0.8722455094454019,0.87079636619089,0.8696272893399083,0.8673246202600748,0.8662447683536147,0.7720022611134871,0.7697953099969888,0.7656035900670988,0.7559809307531553,0.7497870773814588,0.869247710717978,0.7626338338624379,False,-1.0,False
150,10,1600,7,30,0.1690321758568539,121.38171328445542,159637,1037551,159637,0.1538594247415307,0.7532612854693408,0.0928792897891284,0.0151182929802968,0.024029516966618,0.0303300753408748,0.0453842154387767,0.0410765350329766,0.0615646748560797,0.0610572395959331,0.0925913165494215,0.0919549978748032,0.1459373453522679,0.5530555993791212,0.8348547866623139,0.8320547730235464,0.8305279318174366,0.8290191574396872,0.828622230101407,0.7492143258934144,0.7461772609178732,0.7411358814156321,0.7303394859353807,0.7214573591496285,0.8310157758088781,0.7376648626623858,False,-1.0,False
150,10,1600,7,60,0.1698860009440233,137.85040668916383,159637,913597,159637,0.1747345930426654,0.7197845439509981,0.1054808630063365,0.0139065693079114,0.0240420453904796,0.0278766239381258,0.0454218007103616,0.0378963591167659,0.0616273169753879,0.0569780767668895,0.092572523913629,0.0862568506682924,0.1459874590477145,0.6247295308624407,0.8575950027339712,0.8583635678720578,0.8566269475358403,0.8529383477372995,0.8505649520787828,0.7482362945028307,0.745103106816267,0.7399960474631201,0.7295627760257413,0.7205009142001031,0.8552177635915903,0.7366798278016125,False,-1.0,False
150,10,3000,20,30,0.1698352605587877,130.71323461490158,62446,963481,62446,0.0648129023820916,0.8195387350658705,0.1156483625520378,0.0142535244597454,0.0284405726547737,0.028843329551906,0.0530858661883867,0.0391455565807732,0.0722224001537328,0.0580821002178558,0.1083175863946449,0.0870562055712567,0.1711398648432245,0.6769093046670255,0.8508928682293213,0.847715934825876,0.8460945957922983,0.8462869383012743,0.8474187338517487,0.7002667171877959,0.6976625562001939,0.6895455713512835,0.6755338783765577,0.6627368730563568,0.8476818142001037,0.6851491192344377,False,-1.0,False
