Anzahl_Slots,Max_Domains,Max_Events,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,kNN_Accuracy_k1,kNN_Accuracy_k3,kNN_Accuracy_k5,kNN_Accuracy_k10,kNN_Accuracy_k20,Utility_Score,Privacy_Score_k1,Privacy_Score_k3,Privacy_Score_k5,Privacy_Score_k10,Privacy_Score_k20,Privacy_Score_Avg,Pareto_Member,Chord_Distance,Plateau_Member
65,75,800,0.8269696261488798,206.52294889027996,813133,813133,0.0208034847927706,0.0445068641907289,0.0609900225424377,0.0983541437870557,0.1711171481172206,0.8293563718250812,0.5357321854108608,0.5332946310023575,0.5263038949082015,0.5009568263016717,0.4252666349918436,0.5043108345229871,False,-1.0,False
65,90,700,0.8384696354520701,215.2838048671676,780043,780043,0.0202463197541673,0.0429873737729843,0.0597582440967997,0.0932102461018174,0.1642460736138905,0.8493111832708953,0.5174785994121756,0.5199550481432482,0.5084583964465104,0.4996604048800515,0.42353149309981153,0.4938167883963594,False,-1.0,False
65,90,800,0.8385044554816196,215.3103031359823,779947,779947,0.020244965363031,0.0429875363325969,0.0597540602117836,0.0932076153892508,0.164227825736877,0.8493711773878871,0.5174192176400826,0.5198776549052264,0.5084070548783495,0.4995964704813868,0.42351752973759504,0.493763585528528,False,-1.0,False
40,50,450,0.7430467730077539,109.45510877684224,1534242,1534242,0.0231554083384498,0.0482785636164307,0.0725283234326788,0.108982807145157,0.1866426548093455,0.5768799721866229,0.6901365662495733,0.68748325514235,0.6414300074566736,0.6351709082945137,0.5558628649542022,0.6420167204194626,False,-1.0,False
40,55,450,0.7606104851251679,138.37611580932793,1213581,1213581,0.0182600090146434,0.0432694645021634,0.064698606850305,0.1054152957239772,0.1798322485272923,0.6614718140657831,0.7122726845512957,0.6879946735777112,0.6494185637941379,0.6133086810772015,0.5406633759083216,0.6407315957817336,False,-1.0,False
40,60,450,0.7689434123996349,142.69489085704137,1176851,1176851,0.0171593515236848,0.0397306031094845,0.0604902404807405,0.1009397111444014,0.1746142884698232,0.6731164109145273,0.7076645204422407,0.6972668636284403,0.6561333664572813,0.6158384517450562,0.5402208861967635,0.6434248176939563,False,-1.0,True
45,50,450,0.7444608303108204,109.0458603896104,1540000,1540000,0.0230506493506493,0.0481584415584415,0.0723032467532467,0.108588961038961,0.1861116883116883,0.5755749008473924,0.6883403435318478,0.6853247201535309,0.6396718596551633,0.6339050923531127,0.5545800761402795,0.6403644183667868,False,-1.0,False
45,55,450,0.7648250365768414,137.81659619797327,1218508,1218508,0.0182280296887669,0.0431544150715465,0.064425510542401,0.1050021829975675,0.1791018196023333,0.6599482843047222,0.7034534635679568,0.6796737402127326,0.6418219323322445,0.6060091931987661,0.5339371254727385,0.6329790909568876,False,-1.0,False
45,60,450,0.7732927129176043,141.9971225248048,1182634,1182634,0.0170483852146987,0.0394044142143723,0.0600912877525929,0.1004858646039264,0.1738898086812995,0.6712484342770781,0.6995274513875682,0.6902915303386032,0.648987798976215,0.6084331913048995,0.5331797532206881,0.6360839450455948,False,-1.0,True
50,50,450,0.7463367496485616,108.69549387558546,1544964,1544964,0.0229662309283582,0.0478761964680083,0.0720476334723657,0.1083106143573572,0.1856658148668836,0.5744545507677898,0.6852827720135017,0.6834158073344937,0.6370848224821934,0.6310940060337407,0.5519975776717523,0.6377749971071364,False,-1.0,False
45,63,450,0.7896180654183002,196.6163624293557,854103,854103,0.0228859985271097,0.0519668002571118,0.0704165656835299,0.1100944499668072,0.1827238635152903,0.8064773914187424,0.5916447980530022,0.5570082340073861,0.5521184935451381,0.5281939829773711,0.4673901047893879,0.539271122674457,False,-1.0,False
