Anzahl_Slots,Max_Domains,Max_Events,Max_Days,Session_Timeout,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,kNN_Accuracy_k1,kNN_Accuracy_k3,kNN_Accuracy_k5,kNN_Accuracy_k10,kNN_Accuracy_k20
50,50,700,20,30,0.3571076720894029,124.68970372020495,173808,1010025,0.01928071087349323,0.0378980718299052,0.05120764337516398,0.07488923541496498,0.1135229326006782
50,50,700,20,60,0.3608112281002067,143.45058780245827,173808,877931,0.01884772265701974,0.036912923680790403,0.04995836802664446,0.07366524248488776,0.11208284022320661
50,100,200,7,30,0.4617400745842045,90.79366994978004,601174,1387098,0.026812092584662366,0.05106344324625946,0.06885526473255675,0.10036060898364788,0.15421909627149633
50,100,200,7,60,0.4666472101054475,100.24445725074543,601174,1256326,0.02746022927170177,0.052074859550785384,0.07025167034670937,0.10274403299780471,0.15828694144672642
50,100,200,20,30,0.47235731353233423,91.79186072445324,581283,1372014,0.026929754361107103,0.05126769843456408,0.06908165660117171,0.1006666112736459,0.1547025030356833
50,100,200,20,60,0.4774466444341786,101.49684242084292,581283,1240824,0.027632444246726368,0.0523265185070566,0.07051765600923257,0.10313146747645113,0.1589129481699258
50,100,450,7,30,0.366611595281106,113.1347837687065,295413,1113183,0.021425947036560925,0.04173168293083886,0.05627825793243339,0.08212306512046987,0.12466863040488402
50,100,450,7,60,0.3704976131812983,128.3071125333529,295413,981549,0.021381510245540466,0.041483410405389845,0.05595645250517295,0.08213548177421606,0.1250666039087198
50,100,450,20,30,0.3981044723706325,115.55353515334687,262466,1089882,0.02156380231988417,0.04203666084952316,0.05669329340240503,0.08267959283665571,0.1254778040191507
50,100,450,20,60,0.40226399123253354,131.51215085607356,262466,957628,0.02155429874648611,0.0418356606114274,0.056427965765412036,0.08275029552185191,0.1260980255381004
50,100,700,7,30,0.3082726659562608,121.35352556196231,213829,1037792,0.018977791310782893,0.03752004255187937,0.05067682155961888,0.07427788998180752,0.11267479417840955
50,100,700,7,60,0.31149762206420495,138.97103163656024,213829,906230,0.018527305430188806,0.03647859814837293,0.0493616410844929,0.07295278240623242,0.1110987276960595
50,100,700,20,30,0.3571076720894029,124.68970372020495,173808,1010025,0.01928071087349323,0.0378980718299052,0.05120764337516398,0.07488923541496498,0.1135229326006782
50,100,700,20,60,0.3608112281002067,143.45058780245827,173808,877931,0.01884772265701974,0.036912923680790403,0.04995836802664446,0.07366524248488776,0.11208284022320661
80,10,200,7,30,0.450500105440493,88.08704227893733,610561,1429719,0.025856829209096332,0.04941110805689789,0.06676067115286291,0.09750867128435728,0.1501176105234665
80,10,200,7,60,0.4537976972382982,96.57887177159053,610561,1304009,0.026311934963639056,0.0500165259595601,0.06762990132736814,0.09912968392089318,0.15303652045346314
80,10,200,20,30,0.466400393547288,89.38874823532417,581526,1408899,0.026012510478039944,0.04967282963505546,0.06708571728704471,0.09794030657981871,0.1507602745122255
80,10,200,20,60,0.46968344883141666,98.18161534611552,581526,1282722,0.02644376567954709,0.05028525276716233,0.0679788761711423,0.09961082759943309,0.15381898805820746
80,10,450,7,30,0.35088214548119234,109.0738471611636,307548,1154628,0.020564199032069203,0.040237201938633047,0.05438461565110148,0.0795797434325168,0.12112732412517278
80,10,450,7,60,0.35334093903555763,122.6027172421044,307548,1027218,0.020317011578846945,0.039594321750592375,0.05359232412204615,0.07888198999628122,0.12053332398770271
80,10,450,20,30,0.3926408029830972,112.1188298450061,263742,1123270,0.020780400081903728,0.04057884569159686,0.05494760832213092,0.0802985925022479,0.1220694935322763
80,10,450,20,60,0.3953701169249888,126.54205819701781,263742,995240,0.020558860174430288,0.03995418190587195,0.054202001527269804,0.07974156987259355,0.12168924078614203
80,10,700,7,30,0.2930527376443247,116.55440744898536,227298,1080523,0.018323534066373413,0.03616304326701051,0.04895684774872909,0.07182355211318964,0.10917861072832323
80,10,700,7,60,0.29510932979500054,132.17882279349874,227298,952798,0.017719390678821743,0.0348741286190777,0.04728074576143107,0.06998440382956303,0.10684531243768354
80,10,700,20,30,0.3522167301339328,120.54450747877257,176472,1044757,0.01853732494733225,0.03658362662322435,0.04956654992500648,0.07265900108829135,0.11038930583858256
80,10,700,20,60,0.35445060343966184,137.40462227827717,176472,916561,0.017937704091708025,0.035286249360380814,0.047881155755045215,0.07080161604083089,0.10804409090066018
80,50,200,7,30,0.4505942506884134,88.08457789039971,610523,1429759,0.02585820407495249,0.049400633253576305,0.06675250863956793,0.09750734214647364,0.15009312758304022
80,50,200,7,60,0.4539324949853857,96.57946427955193,610523,1304001,0.026317464480472025,0.050017599679754846,0.06762954936384251,0.09912185650164379,0.15300295015111184
