Anzahl_Slots,Max_Domains,Max_Events,Max_Days,Session_Timeout,Mean_Cosine_Prev_Pseudonym,Avg_Utility_ThirdParty,Total_Resets,Total_Segments,Total_Segments_Rotation,Rotation_Threshold,Session_Gap,End_Of_Stream,kNN_Accuracy_k1_Segments,kNN_Accuracy_k1_Rotation,kNN_Accuracy_k3_Segments,kNN_Accuracy_k3_Rotation,kNN_Accuracy_k5_Segments,kNN_Accuracy_k5_Rotation,kNN_Accuracy_k10_Segments,kNN_Accuracy_k10_Rotation,kNN_Accuracy_k20_Segments,kNN_Accuracy_k20_Rotation
35,50,700,7,30,0.32448105831540575,126.22043224130466,203875,997776,203875,0.20432942864931608,0.7589970093487917,0.03667356200189221,0.01977097063870047,0.041437155119558554,0.03890753034749282,0.07681667688534641,0.052297309215695705,0.10305334150827714,0.0766474639598467,0.15022930717351318,0.11582459389682655,0.2334322501532802
35,50,700,7,60,0.3293101241202072,145.95766592378058,203875,862851,203875,0.23628065564042922,0.7213110954266727,0.04240824893289803,0.019578119513102493,0.04167259350091968,0.038327590742781775,0.0773071735131821,0.05150715476947932,0.10352421827099939,0.07600269339665829,0.15083261802575107,0.1152354230336408,0.23415328019619866
35,50,700,20,30,0.3648573266176378,129.08434164685914,172585,975639,172585,0.1768943225926803,0.7826409153385627,0.04046476206875699,0.019916178012564074,0.04692760089231393,0.03930552181698354,0.08706434510531043,0.05273364430901184,0.11661500130370542,0.07723860977267206,0.16957441260828,0.11659128017637671,0.2634585856244749
35,50,700,20,60,0.37002973009262485,149.92752177370585,172585,840004,172585,0.20545735496497636,0.7475440593140033,0.04699858572102038,0.019739191718134676,0.04725207868586494,0.03874743453602602,0.08760321001245763,0.051973562030657,0.11714807196453922,0.07667820629425574,0.1702871049048295,0.11618039914095647,0.2642523973694122
35,100,200,7,30,0.4748876958915537,93.60485640385302,595494,1345440,595494,0.44260167677488405,0.5359540373409443,0.021444285884171722,0.02772847544297776,0.04512052178527407,0.05285928766797479,0.08360117818147622,0.07094036151742181,0.11217913194759309,0.1034390236651207,0.16336856458671287,0.1582411701748127,0.2537137233960376
35,100,200,7,60,0.48182604152744746,104.05583863294414,595494,1210309,595494,0.49201815404165383,0.484143305552549,0.023838540405797196,0.0286083966986943,0.045273336087349327,0.05428696308132882,0.08394375090261195,0.07287560449438944,0.11255193167353492,0.10658269912890014,0.1638001390442221,0.16343099158975105,0.2540395033367255
35,100,200,20,30,0.4832004896832487,94.36528302904695,581071,1334598,581071,0.4353902823172221,0.5420890785090342,0.022520639173743705,0.027862322587026207,0.04599610030443784,0.05304593592977061,0.08505328952916252,0.07120795925065075,0.11408932815439077,0.10376308071793904,0.16596078620340715,0.15870996359952586,0.257713773359882
35,100,200,20,60,0.4901895950767277,105.02678464207085,581071,1199120,581071,0.48458119287477486,0.4903537594235773,0.025065047701647875,0.02879111348322103,0.04618368495416223,0.05454833544599373,0.08543017978870052,0.0732253652678631,0.11450752145606992,0.10702431783307759,0.1664615855893686,0.16406281272933484,0.25812336186111506
35,100,450,7,30,0.3806780620288007,117.49872695432803,286872,1071839,286872,0.2676446742467852,0.7003113340716283,0.03204399168158651,0.0220210311436699,0.04381396581053571,0.04300925792026601,0.08171240134973089,0.05793220810214967,0.10982947098357455,0.0845733361073818,0.1594753060598455,0.12805747878179466,0.24676859365849577
35,100,450,7,60,0.38648917527133886,134.46277548702028,286872,936614,286872,0.30628626093566824,0.6570433497684212,0.036670389295910585,0.02223114324577681,0.044179982710058845,0.043184278688979665,0.08223179675953038,0.058171242368788,0.11046738615131488,0.08541405530987152,0.16023174098552664,0.1296403854736316,0.24740999470146965
35,100,450,20,30,0.40528527367756834,119.42145608402191,261969,1054582,261969,0.2484102706095875,0.7166261134743434,0.03496361591606911,0.022287503484793025,0.047150617057743476,0.043478838060956856,0.08760578541735854,0.058429785450538695,0.11760933545572186,0.0852726483099465,0.17026060335383195,0.12888708511998118,0.26324488775389454
35,100,450,20,60,0.41136323503791333,137.07291742627987,261969,918779,261969,0.28512732659322865,0.6747411510276138,0.040131522379157555,0.022497249066424026,0.04743691047414007,0.043671002493526734,0.08807912386580091,0.05872467698978753,0.11818955677961897,0.08616326668328292,0.17091716958876813,0.13055152544844842,0.2636533330279537
35,100,700,7,30,0.32448105831540575,126.22043224130466,203875,997776,203875,0.20432942864931608,0.7589970093487917,0.03667356200189221,0.01977097063870047,0.041437155119558554,0.03890753034749282,0.07681667688534641,0.052297309215695705,0.10305334150827714,0.0766474639598467,0.15022930717351318,0.11582459389682655,0.2334322501532802
35,100,700,7,60,0.3293101241202072,145.95766592378058,203875,862851,203875,0.23628065564042922,0.7213110954266727,0.04240824893289803,0.019578119513102493,0.04167259350091968,0.038327590742781775,0.0773071735131821,0.05150715476947932,0.10352421827099939,0.07600269339665829,0.15083261802575107,0.1152354230336408,0.23415328019619866
35,100,700,20,30,0.3648573266176378,129.08434164685914,172585,975639,172585,0.1768943225926803,0.7826409153385627,0.04046476206875699,0.019916178012564074,0.04692760089231393,0.03930552181698354,0.08706434510531043,0.05273364430901184,0.11661500130370542,0.07723860977267206,0.16957441260828,0.11659128017637671,0.2634585856244749
35,100,700,20,60,0.37002973009262485,149.92752177370585,172585,840004,172585,0.20545735496497636,0.7475440593140033,0.04699858572102038,0.019739191718134676,0.04725207868586494,0.03874743453602602,0.08760321001245763,0.051973562030657,0.11714807196453922,0.07667820629425574,0.1702871049048295,0.11618039914095647,0.2642523973694122
50,10,200,7,30,0.4618631116077369,90.77757066740477,601312,1387344,601312,0.43342674924171654,0.5400809027897912,0.026492347968492314,0.026727329342974778,0.04398714810281518,0.051001049487365786,0.0817279548720132,0.06870970718149212,0.11006266297695705,0.10037597019917194,0.16040591240487467,0.15378882238291297,0.2499318157628652
50,10,200,7,60,0.46671334593964126,100.23121356920697,601312,1256492,601312,0.47856412933787085,0.4921845901127902,0.029251280549338954,0.027384973402138652,0.04415844021073918,0.05201386081248428,0.08205557181629504,0.07010470420822416,0.11042686658506731,0.10275751855165015,0.16079672449576926,0.15786570865552665,0.25022783513384067
